date,lstm_reconstruction_error,severity_percentile,model_flag,plain_explanation
2020-03-24,8.713499,1.0,True,"Flagged as unusual. This looks like a focused sequence anomaly because a small number of features explain most of the reconstruction error. Biggest contributors: MSFT (39% of reconstruction error), AAPL (32% of reconstruction error), NVDA (19% of reconstruction error), AMZN (10% of reconstruction error)."
2020-03-25,8.71269,0.9993784959602238,True,"Flagged as unusual. This looks like a focused sequence anomaly because a small number of features explain most of the reconstruction error. Biggest contributors: MSFT (39% of reconstruction error), AAPL (32% of reconstruction error), NVDA (19% of reconstruction error), AMZN (10% of reconstruction error)."
2020-03-27,8.640893,0.9987569919204475,True,"Flagged as unusual. This looks like a focused sequence anomaly because a small number of features explain most of the reconstruction error. Biggest contributors: MSFT (39% of reconstruction error), AAPL (33% of reconstruction error), NVDA (18% of reconstruction error), AMZN (10% of reconstruction error)."
2020-03-26,8.591005,0.9981354878806712,True,"Flagged as unusual. This looks like a focused sequence anomaly because a small number of features explain most of the reconstruction error. Biggest contributors: MSFT (39% of reconstruction error), AAPL (32% of reconstruction error), NVDA (19% of reconstruction error), AMZN (10% of reconstruction error)."
2020-03-30,8.447807,0.997513983840895,True,"Flagged as unusual. This looks like a focused sequence anomaly because a small number of features explain most of the reconstruction error. Biggest contributors: MSFT (40% of reconstruction error), AAPL (31% of reconstruction error), NVDA (19% of reconstruction error), AMZN (10% of reconstruction error)."
2020-04-06,8.324765,0.9968924798011187,True,"Flagged as unusual. This looks like a focused sequence anomaly because a small number of features explain most of the reconstruction error. Biggest contributors: MSFT (40% of reconstruction error), AAPL (31% of reconstruction error), NVDA (20% of reconstruction error), AMZN (9% of reconstruction error)."
2020-04-01,8.320268,0.9962709757613425,True,"Flagged as unusual. This looks like a focused sequence anomaly because a small number of features explain most of the reconstruction error. Biggest contributors: MSFT (40% of reconstruction error), AAPL (31% of reconstruction error), NVDA (19% of reconstruction error), AMZN (10% of reconstruction error)."
2020-03-31,8.310152,0.9956494717215661,True,"Flagged as unusual. This looks like a focused sequence anomaly because a small number of features explain most of the reconstruction error. Biggest contributors: MSFT (40% of reconstruction error), AAPL (31% of reconstruction error), NVDA (19% of reconstruction error), AMZN (10% of reconstruction error)."
2020-04-02,8.285825,0.9950279676817899,True,"Flagged as unusual. This looks like a focused sequence anomaly because a small number of features explain most of the reconstruction error. Biggest contributors: MSFT (40% of reconstruction error), AAPL (31% of reconstruction error), NVDA (20% of reconstruction error), AMZN (10% of reconstruction error)."
2020-04-03,8.282785,0.9944064636420137,True,"Flagged as unusual. This looks like a focused sequence anomaly because a small number of features explain most of the reconstruction error. Biggest contributors: MSFT (40% of reconstruction error), AAPL (30% of reconstruction error), NVDA (20% of reconstruction error), AMZN (10% of reconstruction error)."
2020-04-07,7.9327745,0.9937849596022374,True,"Flagged as unusual. This looks like a focused sequence anomaly because a small number of features explain most of the reconstruction error. Biggest contributors: MSFT (40% of reconstruction error), AAPL (30% of reconstruction error), NVDA (21% of reconstruction error), AMZN (9% of reconstruction error)."
2020-03-20,7.8896713,0.9931634555624611,True,"Flagged as unusual. This looks like a focused sequence anomaly because a small number of features explain most of the reconstruction error. Biggest contributors: MSFT (40% of reconstruction error), AAPL (32% of reconstruction error), NVDA (17% of reconstruction error), AMZN (11% of reconstruction error)."
2020-03-19,7.87798,0.9925419515226849,True,"Flagged as unusual. This looks like a focused sequence anomaly because a small number of features explain most of the reconstruction error. Biggest contributors: MSFT (40% of reconstruction error), AAPL (31% of reconstruction error), NVDA (18% of reconstruction error), AMZN (11% of reconstruction error)."
2020-03-18,7.7462397,0.9919204474829086,True,"Flagged as unusual. This looks like a focused sequence anomaly because a small number of features explain most of the reconstruction error. Biggest contributors: MSFT (40% of reconstruction error), AAPL (32% of reconstruction error), NVDA (17% of reconstruction error), AMZN (11% of reconstruction error)."
2020-04-08,7.74121,0.9912989434431324,True,"Flagged as unusual. This looks like a focused sequence anomaly because a small number of features explain most of the reconstruction error. Biggest contributors: MSFT (40% of reconstruction error), AAPL (31% of reconstruction error), NVDA (21% of reconstruction error), AMZN (9% of reconstruction error)."
